,hospitaladmissiondate,1,6
51,2020-03-10,0.2617712878019369,0.37103143968979324
52,2020-03-11,0.21784877235316988,0.3117751918830036
53,2020-03-12,0.15476907749673088,0.22908737291112619
54,2020-03-13,0.19734201266252757,0.3035666852432242
55,2020-03-14,0.2185240701613317,0.3158029492276861
56,2020-03-15,0.19814623498709888,0.2883768608803268
57,2020-03-16,0.20628997122308612,0.31266198244540727
58,2020-03-17,0.22915020496342722,0.32894299566297625
59,2020-03-18,0.2234370824835966,0.3235812940303708
60,2020-03-19,0.20538144509948206,0.30622022481138805
61,2020-03-20,0.22456550549743048,0.32772855403764956
62,2020-03-21,0.20721945276285061,0.298256609086547
63,2020-03-22,0.20007338543257494,0.2935085763296801
64,2020-03-23,0.1987316482406521,0.2946283214720648
65,2020-03-24,0.20804980396644715,0.30798330235999394
66,2020-03-25,0.19759297901949302,0.28982826384362437
67,2020-03-26,0.21101619592319626,0.311495596864467
68,2020-03-27,0.2101003512751109,0.30471811328928655
69,2020-03-28,0.19889616549215391,0.29266504862929527
70,2020-03-29,0.1944508520965524,0.2874370444910446
71,2020-03-30,0.214383189345189,0.31735910435736253
72,2020-03-31,0.2046506933892829,0.29710056598045453
73,2020-04-01,0.20083804565735047,0.2884090987440063
74,2020-04-02,0.23228546378668083,0.3339603654160905
75,2020-04-03,0.2180938424657505,0.32612708220449954
76,2020-04-04,0.3987192762753682,0.5951522595954324
